sbjnum;date;upm1a;a4;soct2;idio2;np1;cp4a;cp6;cp7;cp8;cp13;colcp8a;colcp8b;colcp8c;it1;l1;prot3;jc10;jc13;jc15a;jc16a;vic1ext;aoj1;aoj21;aoj11;aoj12;colaoj21a;colaoj21b;wc1;wc1t;wc3;wc3t;wc2;wc2t;colwc8;colwc8t;colwc9;colwc9t;colwc4a;colwc4b;colwc4d;colwc4e;colwc4g;colwc4c;colwc4f;colwc4_88;colwc4_98;collt5;collt6;colpaz1a;colpaz6a;colpaz6c;b0;b1;b2;b3;b4;b6;b10a;b12;b13;b18;colb60n;b21;b21a;b31;b32;b37;b47a;b50;b20;b33;b17;colb61;b3polx;b20b;b15;colb67;b3milx;colpropaz1b;colrecon19b;colrecon19c;colrecon20b;colrecon20c;colpropaz1cn;colvb27a;colvb27b;colvb27c;colvb27d;colvb27e;colvb27f;colvb27g;colvb27h;m1;sd2new2;sd2expec;sd3new2;sd3expec;sd6new2;sd6expec;colsd8new2;infrax;ros1;ros4;redist1;redist2;redist3;ing4;eff1;eff2;pn4;colpropaz13c;colpropaz13j;colpact16a;colpropaz13k;colpropaz13m;colpact16b;colpact20;colpact11;colpact1;colpact17a;colpact18a;colpact10;colpact19;colpact17b;colpact18b;colind1a;colcamp1a;colafro1a;colwom2a;coldvw4;coldvw5;coldvw6;coldvw7;colprotmuj2;coldvw9;coldvw10;coldvw11_1;coldvw11_2;coldvw11_3;coldvw11_4;coldvw11_5;coldvw11_6;coldvw11_7;coldvw11_88;coldvw11_98;d1;d2;d3;d4;d5;d6;colespa2a;colideol4b;colideol4c;colideol4d;colideol4g;colrecon6;colrecon18;colrecon7n;coldis35f;exc2;exc6;exc11a;exc11;exc13a;exc13;exc14a;exc14;exc15a;exc15;exc16a;exc16;exc18;exc7;exc7new;inf1;vb2;vb3n;vb2v;vb3n2;vb10;vb11;pol1;vb20;clien1na;vb50;vb51;vb52;vb58;w14a;mil10a;mil10e;dis13n;dis12n;coldis18n;dis11n;dis12xn;coldis17n;coldislugar;wf1;cct1b;ed;q3cn;q5b;colocup4a;ocupoit;ocup1a;formal;q10g;q10new;q14;q10e;q11n;q12c;q12bn;q12;etid;gi0n;www1n;smedia1;smedia2;smedia3;smedia4;smedia5;smedia6;smedia7;smedia8;smedia9;gi1;gix4;gi4;colgi8;r3;r4;r4a;r5;r6;r7;r8;r12;r14;r15;r18;r1;r16;formatq;colorr;conocim;iarea1;iarea2;iarea3;sexi;colori;colestsoc_col;q1;q2;country;estratopri;municipio;prov_code;upm;ur;year;municipio_desc;estratosec;tamano;q_38;q_54;q_58;q_67;q_86;q_110;q_125;q_162;q_197;q_208;q_221;q_227;q_271;q_316;q_320;aoj21_answer_order;colaoj21a_answer_order;colaoj21b_answer_order;b20b_b15_colb67_order;colvb27_questions_order;redist_questions_order;colpropaz13c_j_order;colpropaz13k_m_order;s_236_7;duration;wt 
74182654;19-Sep-18;36;70;2;2;2;2;1;2;3;3;.c;3;4;2;1;2;.c;1;.c;2;2;.c;6;2;2;.c;2;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;1;.c;6;1;1;4;2;3;1;5;4;5;1;3;5;5;1;7;3;3;.c;.c;.c;.c;.c;7;.b;3;1;2;.c;.c;1;1;4;1;3;1;7;1;1;1;3;2;3;.c;2;2;2;.c;2;2;2;6;7;1;4;5;2;6;3;3;5;5;.c;.c;.c;6;.c;.c;.c;.c;.b;4;1;1;6;6;.c;3;7;5;2;.c;.c;.c;1;0;0;0;1;1;0;0;0;0;4;9;8;7;1;2;1;1;1;5;1;1;7;5;0;0;0;0;.c;0;.c;0;.c;1;0;1;0;0;1;.c;1;1;802;1;802;2;.c;2;4;2;3;3;3;2;1;.c;3;.c;.c;.c;2;2;2;.c;1;1;13;77;1;5;.c;.c;.c;.c;4;2;1;4;3;1;2;2;1;2;1;1;1;2;.c;.c;1;1;2;.a;.b;1;5;1;0;1;0;1;1;1;1;1;1;0;1;1;4;3;2;1;3;1;2;3;3;2;38;8;815;852356;52;52356;1;2018;181;1;3;2;2;2;2;1;2;2;1;1;2;1;1;1;2;2;681;.c;718;1;1444;1;2;.c;1;557;0,800000012
74183361;19-Sep-18;49;13;3;3;2;2;4;4;3;3;.c;3;4;4;5;1;.c;1;.c;2;2;.c;1;4;3;3;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;1;.c;4;4;3;4;1;1;3;1;3;4;3;4;1;4;1;2;1;2;.c;.c;.c;.c;.c;1;2;2;2;4;.c;.c;7;7;7;2;1;4;7;1;2;4;7;5;3;3;3;.c;3;.c;4;1;1;6;4;5;1;5;1;4;3;2;1;1;.c;.c;.c;1;.c;.c;.c;.c;6;7;5;4;4;7;.c;7;7;2;1;.c;.c;.c;3;0;0;0;1;0;0;0;0;0;4;10;5;6;10;10;6;10;10;10;10;10;10;10;0;0;0;0;.c;0;.c;1;0;1;0;0;.c;0;.c;4;1;1;802;1;802;1;877;2;3;2;3;1;3;3;1;.c;2;1;2;1;.c;.c;.c;4;2;2;11;11;4;3;.c;.c;.c;.c;8;2;2;1;3;0;0;1;1;1;1;1;1;1;2;2;1;1;5;1;1;1;4;1;1;1;0;1;0;0;1;1;1;1;1;1;4;2;3;3;3;3;2;4;3;1;22;8;813;841001;41;41001;1;2018;159;1;3;2;2;2;1;1;2;2;3;1;2;1;1;2;2;1;1049;723;.c;2;403;4;2;.c;1;617;1
74183758;19-Sep-18;36;2;3;1;2;2;2;4;4;4;4;.c;.c;1;1;2;2;.c;.c;2;2;.c;3;1;4;.c;3;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;1;.c;6;3;2;1;2;4;7;7;1;4;3;6;1;5;1;5;1;4;.c;.c;.c;.c;.c;1;.a;.b;1;5;.c;.c;1;2;1;1;1;1;1;1;1;3;.a;3;3;3;.a;.c;4;.c;3;4;1;5;7;6;7;2;7;4;4;.c;.c;.c;6;2;4;2;3;7;6;5;.c;.c;.c;.c;5;7;.c;6;1;2;5;.c;.c;.c;6;0;0;0;0;0;0;1;0;0;10;6;1;2;1;1;4;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;.c;0;.c;0;.c;0;1;.c;1;1;802;1;802;1;821;4;3;2;2;3;3;2;1;4;.c;1;1;1;.c;.c;.c;1;2;2;4;1;1;1;5;4;2;1;4;2;2;3;2;0;0;2;2;5;2;.c;.c;2;.c;.c;2;.c;.c;.a;.a;1;.a;1;0;1;0;0;0;0;1;1;0;0;1;0;4;4;3;2;2;4;2;4;2;1;70;8;815;852356;52;52356;1;2018;181;1;3;1;1;2;2;1;2;2;3;2;1;1;1;1;1;1;332;.c;585;3;378;1;.c;2;547;1133;1
74187961;19-Sep-18;11;16;3;.a;2;2;1;3;4;4;4;.c;.c;3;4;2;1;.c;.c;2;2;.c;1;2;4;.c;3;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;1;.c;3;5;7;5;6;6;5;7;5;7;4;5;6;6;6;7;4;6;.c;.c;.c;.c;.c;1;6;7;7;7;7;7;.c;.c;7;1;1;6;1;1;1;1;1;2;2;.c;2;.c;3;2;2;1;1;1;7;7;7;6;6;1;3;.c;.c;.c;7;7;7;7;.c;.c;.c;.c;7;7;1;7;7;7;.c;5;.c;.c;.c;7;7;5;3;0;0;0;0;1;0;0;0;0;10;10;10;10;1;1;1;1;1;1;1;1;5;5;1;0;0;0;.c;0;.c;0;.c;1;0;1;0;0;1;.c;1;2;.c;2;.c;2;.c;4;1;2;3;3;3;1;2;.a;.c;1;1;2;.c;.c;.c;3;2;2;11;1;1;5;.c;.c;.c;.c;10;2;1;2;5;2;2;.a;1;1;1;2;5;2;.c;.c;1;2;5;.a;.a;1;2;1;0;1;0;1;0;0;1;1;1;1;1;0;4;3;3;1;1;2;2;3;2;2;27;8;812;811001;11;110019;1;2018;72;1;2;1;1;2;2;1;2;1;2;2;2;1;2;1;1;1;257;.c;27;6;1240;6;.c;2;1;940;1
74188818;19-Sep-18;36;27;3;3;2;1;4;4;4;3;4;.c;.c;4;1;2;.c;1;.c;2;1;1;1;4;4;3;.c;2;.c;1;2;2;.c;2;.c;2;.c;2;2;2;2;2;2;2;1;2;2;.c;1;1;.c;3;2;7;4;1;1;3;7;1;3;1;1;1;5;1;7;1;1;1;3;1;1;3;.c;.c;.c;.c;7;.c;.c;5;7;5;1;1;1;1;1;1;1;1;3;4;3;4;.c;4;.c;4;2;1;7;7;7;7;1;3;1;4;.c;.c;.c;1;7;1;4;1;1;1;1;.c;.c;.c;.c;.c;.c;7;1;7;7;1;.c;.c;.c;4;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1;1;5;10;10;10;1;10;10;0;0;0;0;.c;1;0;0;.c;1;0;0;.c;0;.c;5;1;1;803;1;.a;2;.c;4;4;2;3;3;3;4;1;.a;.c;1;2;1;.c;.c;.c;3;2;2;0;4;4;1;9;4;2;1;0;1;1;6;1;0;2;2;1;5;2;.c;.c;2;.c;.c;2;.c;.c;.a;.a;1;.a;1;0;1;0;0;0;0;1;0;0;0;1;0;4;5;3;2;1;1;1;7;2;2;65;8;815;852356;52;52356;1;2018;181;1;3;1;2;2;1;1;1;2;3;2;1;2;1;2;1;1;302;201;.c;.c;469;1;.c;1;1;1204;1
74189842;19-Sep-18;56;17;3;3;2;1;2;2;2;3;2;.c;.c;2;10;2;1;.c;.a;.c;2;.c;9;3;1;.c;3;1;2;2;.c;1;2;2;.c;1;2;2;1;2;2;2;2;2;2;2;1;1;1;.c;1;7;7;4;6;5;4;6;6;6;4;3;6;6;5;4;6;4;5;.c;.c;.c;.c;.c;6;5;3;4;5;.c;.c;7;7;7;4;5;6;2;4;4;3;2;2;3;.c;3;2;3;.c;2;3;4;5;7;4;4;4;4;3;2;.c;.c;.c;5;5;3;5;6;3;2;4;.c;.c;.c;.c;5;6;.c;4;.c;.c;.c;6;2;7;1;0;0;1;0;0;0;0;0;0;6;5;4;5;7;6;2;7;.a;4;8;3;8;5;0;0;0;0;.c;0;.c;0;.c;1;0;0;.c;0;.c;2;1;1;801;1;801;1;829;3;2;2;3;1;1;2;1;.c;3;.c;.c;.c;2;2;2;.c;2;1;10;5;1;3;.c;.c;.c;.c;.a;2;3;1;6;2;0;2;1;5;2;.c;.c;2;.c;.c;2;.c;.c;.b;.a;.a;50;1;0;1;0;1;1;0;1;0;0;0;1;0;4;5;3;4;4;4;2;7;7;2;28;8;813;805665;5;5665;2;2018;29;2;1;1;1;1;2;2;2;2;1;2;1;1;2;2;2;2;61;.c;461;2;521;4;.c;2;1;611;1
74190269;19-Sep-18;5;27;3;2;2;2;4;3;4;4;.c;4;4;2;5;2;.c;1;1;.c;2;.c;2;3;4;9;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;2;.c;2;3;1;1;1;2;3;1;4;4;2;1;1;3;1;4;3;1;1;.c;.c;.c;.c;.c;1;6;4;1;1;6;7;.c;.c;5;1;1;1;1;1;1;1;1;4;2;.c;3;.c;4;3;2;4;4;7;7;4;7;3;1;1;1;3;2;3;.c;.c;.c;2;2;1;5;5;.c;.c;.c;.c;.c;.c;4;4;.c;.c;.c;1;7;3;3;0;0;1;0;0;0;0;0;0;1;3;5;3;5;5;5;4;5;10;6;4;4;2;1;0;0;0;.c;1;0;0;.c;1;0;1;0;1;.c;5;1;2;.c;2;.c;2;.c;4;4;2;3;3;3;1;1;.a;.c;.c;.c;.c;2;2;2;.c;2;2;12;1;2;1;5;2;1;10;12;1;2;2;4;1;1;2;2;2;1;2;5;2;.c;.c;1;1;5;1;1;1;10;1;0;1;0;1;1;1;1;1;1;1;1;1;4;2;2;1;1;1;2;4;3;2;32;8;812;811001;11;1100119;1;2018;50;1;2;2;2;1;1;2;2;1;2;1;1;2;2;2;1;2;275;169;.c;5;954;1;1;.c;1;206;0,800000012
74192845;19-Sep-18;49;13;2;2;2;2;4;4;4;4;4;.c;.c;4;7;2;.c;2;2;.c;2;.c;6;4;3;1;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;2;.c;4;5;4;4;3;5;4;6;4;1;3;1;3;1;1;1;1;1;7;1;1;1;1;.c;.c;.c;.c;3;.c;.c;3;4;4;1;1;1;1;2;2;1;1;3;2;.c;2;2;2;.c;2;5;4;3;5;3;3;4;3;2;2;.c;.c;.c;3;3;3;4;3;3;4;4;.c;.c;.c;.c;2;4;.c;3;.c;.c;.c;7;7;4;1;0;0;0;0;1;0;0;0;0;5;6;5;6;6;6;5;6;6;10;10;5;6;6;0;0;0;0;.c;1;0;0;.c;0;.c;0;.c;0;3;.c;1;2;.c;2;.c;2;.c;4;1;2;3;3;3;2;1;.c;.a;.c;.c;.c;2;2;2;.c;2;2;11;1;1;5;.c;.c;.c;.c;5;1;1;1;4;1;0;2;1;1;1;2;2;2;.c;.c;1;2;5;1;1;1;10;1;1;1;1;1;0;1;1;1;1;1;1;1;4;3;3;1;1;1;2;3;3;1;31;8;813;841001;41;41001;1;2018;159;1;3;1;2;1;1;1;1;2;1;2;1;1;2;1;2;2;844;262;.c;.c;943;1;.c;2;1;1164;1
74194594;19-Sep-18;22;57;3;3;2;2;4;4;4;4;.c;4;4;3;7;2;.a;.c;.a;.c;2;.c;.a;4;.a;.c;.a;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;.a;.c;4;5;3;.a;6;5;.a;7;7;4;.a;2;4;5;4;.a;.a;.a;7;.a;.a;1;7;.c;.c;.c;.c;1;7;7;.c;.c;7;.a;.a;.a;7;.a;7;.a;.a;.a;.a;.a;.a;.c;.a;.c;.a;3;4;6;7;5;1;4;1;4;.a;.c;.c;.c;5;5;1;5;1;1;5;3;.c;.c;.c;.c;.c;.c;4;1;.c;.c;.c;1;1;2;.a;0;0;0;0;1;0;0;0;0;2;2;5;2;1;1;1;1;9;10;5;1;1;1;.a;0;0;0;.c;0;.c;0;.c;0;.c;0;.c;0;.c;.a;1;2;.c;2;.c;2;.c;.a;4;2;.a;.a;.a;4;.a;.a;.c;1;1;.a;.c;.c;.c;1;2;2;1;1;1;3;.c;.c;.c;.c;.a;.a;3;5;3;0;8;1;5;.a;2;.c;.c;2;.c;.c;2;.c;.c;.a;.a;1;.a;1;0;1;0;1;0;0;1;1;0;0;1;0;4;3;4;2;2;4;2;4;7;2;52;8;813;817174;17;17174;2;2018;106;2;1;2;1;1;2;1;1;1;3;2;1;2;2;2;1;1;1577;.c;43;.c;651;6;.c;1;1;508;1
74195418;19-Sep-18;56;18;2;2;2;1;1;4;3;4;1;.c;.c;1;2;2;2;.c;2;.c;2;.c;9;1;3;.c;3;1;1;2;.c;2;.c;2;.c;2;.c;1;2;2;2;2;2;2;2;2;1;1;2;.c;2;3;4;5;3;4;4;5;5;4;3;3;4;6;5;4;4;5;5;.c;.c;.c;.c;.c;6;3;3;4;3;4;5;.c;.c;3;4;5;6;4;5;5;4;4;3;3;.c;3;.c;4;3;3;4;5;6;7;5;6;5;3;5;3;4;3;4;.c;.c;.c;4;.c;.c;.c;.c;6;6;5;4;5;6;.c;1;.c;.c;.c;5;7;5;3;0;0;0;0;0;0;1;0;0;5;8;6;5;4;4;5;5;5;7;6;6;8;8;0;0;0;0;.c;1;0;0;.c;0;.c;0;.c;0;3;.c;1;1;801;1;801;1;804;2;2;2;3;1;2;2;1;2;.c;2;2;2;.c;.c;.c;.c;2;2;9;5;1;1;5;4;2;2;.a;1;2;3;8;3;0;.a;2;3;1;2;2;2;.c;.c;2;.c;.c;.a;.a;.a;.a;1;0;1;0;1;0;1;0;0;0;0;1;0;4;9;3;2;4;1;2;7;1;1;23;8;813;805665;5;5665;2;2018;29;2;1;1;1;1;2;2;2;1;2;1;2;1;2;1;1;1;745;.c;441;3;1296;1;2;.c;692;571;1
74196156;19-Sep-18;22;70;2;2;2;2;3;4;4;4;3;.c;.c;2;4;2;2;.c;.c;2;2;.c;6;4;4;3;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;.c;1;5;4;6;2;3;6;2;5;2;5;2;2;1;2;4;2;5;3;3;3;4;2;3;.c;.c;.c;.c;6;4;5;.c;.c;7;1;1;1;2;1;1;1;1;3;2;.c;2;3;3;.c;2;4;4;7;7;1;6;4;2;3;3;4;4;2;.c;.c;.c;1;7;4;4;4;.c;.c;.c;.c;.c;.c;2;4;.c;.c;.c;4;5;1;4;0;0;0;0;0;0;1;0;0;9;9;8;8;10;4;10;9;9;10;8;10;10;10;0;0;0;0;.c;1;0;0;.c;0;.c;0;.c;0;.c;5;1;1;.b;1;.b;2;.c;3;3;2;3;3;3;2;1;.a;.c;2;2;2;.c;.c;.c;.c;1;2;17;1;3;1;3;1;1;.a;.a;2;2;1;2;0;0;.a;2;2;1;1;4;2;.c;.c;1;1;4;1;1;1;8;1;0;1;0;0;0;1;0;1;0;0;1;1;4;3;3;1;1;2;2;5;7;1;46;8;813;817174;17;17174;2;2018;106;2;1;1;1;2;1;2;1;1;1;1;1;2;2;2;1;1;795;768;.c;.c;1191;2;2;.c;315;1010;1
74197101;19-Sep-18;56;18;.a;2;2;2;4;4;2;4;.c;4;4;3;3;2;2;.c;.c;.a;2;.c;7;3;1;11;.c;1;2;2;.c;2;.c;2;.c;2;.c;1;2;2;2;2;2;2;2;2;2;.c;2;2;.c;5;3;7;4;4;1;3;3;.a;2;.a;.a;.a;5;1;6;2;6;.c;.c;.c;.c;.c;7;3;1;5;4;1;5;.c;.c;2;1;1;2;1;1;1;1;.a;.a;3;.c;4;.c;4;3;3;6;5;6;7;6;6;1;1;2;2;.c;.c;.c;1;5;2;3;1;1;2;1;.c;.c;.c;.c;6;7;.c;4;6;6;7;.c;.c;.c;1;0;0;0;0;0;0;1;0;0;4;5;1;2;2;1;1;3;.a;1;3;1;5;1;0;0;0;0;.c;1;0;0;.c;0;.c;0;.c;0;.c;5;1;1;801;2;.c;2;.c;4;4;2;2;1;3;4;2;.c;.a;.c;.c;.c;2;2;2;.c;2;1;0;5;1;1;6;4;2;0;0;2;2;1;6;2;0;.a;2;2;1;3;5;2;.c;.c;1;1;5;1;.a;1;.a;1;0;1;0;1;0;0;0;0;1;0;1;1;4;4;4;1;4;1;2;4;7;1;32;8;813;805665;5;5665;2;2018;29;2;1;2;1;2;1;1;2;1;2;2;1;1;1;2;2;2;1408;246;.c;5;337;5;.c;2;206;862;1
74197102;19-Sep-18;56;57;3;1;2;2;1;2;4;4;3;.c;.c;1;1;2;.c;1;.c;2;2;.c;2;3;3;.c;3;1;2;1;2;1;2;2;.c;1;2;2;2;2;2;2;2;1;2;2;1;1;2;2;.c;2;4;5;7;7;7;7;6;5;6;1;4;7;7;2;6;3;5;.c;.c;.c;.c;.c;7;7;5;7;7;.c;.c;7;7;5;5;6;5;6;6;7;3;6;2;3;.c;2;.c;3;3;3;5;6;7;7;2;6;7;7;4;2;.c;.c;.c;7;7;2;7;.c;.c;.c;.c;7;7;7;2;.c;.c;7;2;6;3;7;.c;.c;.c;2;0;0;0;0;0;0;0;1;0;10;1;5;1;1;1;1;2;.a;1;1;1;1;1;1;0;0;0;.c;1;0;0;.c;1;0;1;0;0;.c;2;1;1;801;1;801;1;.a;3;2;2;4;3;3;4;2;.a;.c;1;2;1;.c;.c;.c;2;2;1;2;5;1;6;.c;.c;.c;1;1;1;1;2;5;3;7;2;2;5;2;.c;.c;2;.c;.c;2;.c;.c;.b;.a;1;.a;1;0;1;0;0;0;0;0;0;0;0;1;0;4;6;4;2;4;1;2;4;7;2;56;8;813;805665;5;5665;2;2018;29;2;1;1;2;2;2;1;2;2;2;2;2;2;1;2;1;1;1521;.c;458;1;459;1;.c;2;1;892;1
74197545;19-Sep-18;43;57;3;3;2;2;1;4;4;.b;4;.c;.c;1;7;2;.c;2;.c;2;2;.c;9;2;3;3;.c;1;2;2;.c;2;.c;2;.c;2;.c;1;2;2;2;2;2;1;2;2;2;.c;2;1;.c;6;3;4;4;4;6;3;4;3;4;1;4;5;4;6;5;4;4;.c;.c;.c;.c;.c;1;3;6;4;2;.c;.c;7;2;3;1;1;1;1;1;1;1;1;3;2;.c;2;2;3;.c;2;4;3;4;7;3;5;7;5;4;3;.c;.c;.c;6;6;2;4;.c;.c;.c;.c;7;7;1;1;.c;.c;3;4;.c;.c;.c;3;4;7;3;0;0;0;0;0;0;1;0;0;7;6;3;3;10;9;1;10;9;10;9;6;9;9;0;0;0;1;0;0;.c;0;.c;0;.c;1;0;0;.c;4;1;1;801;1;801;2;.c;2;1;2;4;1;2;1;2;.c;.a;2;2;2;.c;.c;.c;.c;1;2;12;1;1;3;.c;.c;.c;.c;2;2;3;1;10;3;2;1;1;1;1;2;4;2;.c;.c;2;.c;.c;1;.a;1;.a;1;1;1;0;1;1;1;1;1;0;1;1;1;4;4;3;1;2;3;2;4;3;2;36;8;813;805001;5;500129;1;2018;16;1;3;1;2;2;1;1;2;2;1;2;2;2;2;2;2;1;371;560;.c;5;720;1;.c;2;699;830;1
74202076;19-Sep-18;56;13;3;3;2;2;2;3;3;3;3;.c;.c;2;.b;2;2;.c;.c;2;2;.c;2;2;2;3;.c;1;2;1;2;2;.c;2;.c;2;.c;1;2;2;2;2;2;2;2;2;2;.c;1;1;.c;2;3;7;5;7;6;6;7;3;3;1;.b;6;5;5;.b;6;.b;4;5;.b;1;3;.c;.c;.c;.c;3;3;5;.c;.c;6;.b;5;.b;4;4;4;7;.b;.b;4;.c;4;2;3;.c;4;6;4;6;6;.b;6;6;7;.b;.b;.b;.b;3;.c;.c;.c;.b;.c;.c;.c;.c;5;.b;4;.b;4;5;.c;2;.c;.c;.c;2;7;6;4;0;0;1;0;0;0;0;0;0;.a;.b;3;3;4;2;2;2;1;5;6;5;5;4;0;0;0;0;.c;0;.c;0;.c;1;0;0;.c;0;.c;2;1;1;803;1;801;1;821;3;1;2;3;1;3;3;2;.a;.c;2;2;2;.c;.c;.c;.c;1;1;5;1;1;5;.c;.c;.c;.c;5;2;2;2;9;2;6;5;2;2;1;2;3;2;.c;.c;1;1;3;1;.a;2;.a;1;1;1;0;1;0;1;0;0;0;1;1;1;4;4;4;3;3;1;2;7;7;2;55;8;813;805665;5;5665;2;2018;28;2;1;1;1;2;1;1;1;1;1;1;2;1;2;2;1;1;284;400;.c;.c;246;5;1;.c;1;1098;1
74202435;19-Sep-18;56;13;2;2;2;2;3;3;2;4;.c;4;4;3;1;2;2;.c;.c;2;2;.c;9;2;1;.c;3;2;.c;2;.c;1;2;2;.c;1;2;1;2;2;2;2;2;2;2;2;2;.c;2;2;.c;5;7;6;5;5;7;6;7;5;6;4;2;6;5;5;6;6;5;.c;.c;.c;.c;.c;6;5;6;6;2;4;7;.c;.c;5;5;6;6;4;5;4;3;5;2;3;3;3;.c;2;.c;3;3;5;3;7;6;5;6;6;5;2;.c;.c;.c;6;7;5;6;6;5;5;6;.c;.c;.c;.c;6;6;.c;5;.c;.c;.c;3;4;5;4;0;0;0;0;0;0;1;0;0;8;6;4;2;2;3;4;5;6;3;7;5;4;3;0;0;0;0;.c;0;.c;0;.c;1;0;0;.c;0;.c;4;1;2;.c;2;.c;2;.c;3;4;2;3;3;3;2;2;.a;.c;2;2;2;.c;.c;.c;.c;1;1;11;4;1;5;.c;.c;.c;.c;2;1;3;5;3;1;1;2;1;1;1;1;1;2;.c;.c;1;1;5;1;.a;1;.a;1;0;1;0;1;0;0;0;0;0;0;1;0;4;6;4;4;4;1;2;4;7;2;18;8;813;805665;5;5665;2;2018;28;2;1;2;1;2;2;1;2;1;3;2;1;1;2;2;1;1;410;.c;388;5;1046;1;.c;2;404;464;1
74202949;19-Sep-18;5;865;3;2;2;2;1;4;4;4;.c;4;4;4;6;2;1;.c;2;.c;2;.c;6;2;1;9;.c;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;1;2;.c;5;5;6;6;5;7;6;7;4;4;2;4;4;5;6;3;5;5;3;5;6;2;3;.c;.c;.c;.c;5;.c;.c;5;7;6;1;1;2;1;1;1;1;1;2;2;3;1;.c;3;.c;2;2;5;5;6;4;2;5;3;4;3;4;5;5;.c;.c;.c;5;4;3;4;2;.c;.c;.c;.c;3;3;.c;4;4;3;1;.c;.c;.c;4;0;0;0;1;0;0;0;0;0;8;8;5;5;9;9;1;10;9;10;10;3;6;6;0;0;0;0;.c;0;.c;0;.c;0;.c;0;.c;1;.c;3;1;2;.c;2;.c;2;.c;3;3;2;3;3;3;2;1;.a;.c;2;2;2;.c;.c;.c;.c;2;2;11;77;1;4;.c;.c;.c;.c;.a;1;2;1;3;0;0;2;3;1;1;1;5;2;.c;.c;1;1;5;1;1;1;.a;1;1;1;0;1;0;0;1;1;1;1;1;1;4;4;2;1;1;1;2;3;3;1;19;8;812;811001;11;1100119;1;2018;50;1;2;2;1;1;1;1;1;2;3;1;1;1;1;2;1;1;362;203;.c;.c;1232;5;1;.c;1;1229;1
74204292;19-Sep-18;36;3;3;2;1;2;1;4;4;4;.c;3;3;3;3;2;.c;1;.c;2;2;.c;6;2;4;.c;11;2;.c;2;.c;2;.c;2;.c;2;.c;.c;.c;.c;.c;.c;.c;.c;.c;.c;2;.c;2;.c;2;4;3;4;3;3;1;1;4;3;3;4;2;1;2;4;2;1;2;.c;.c;.c;.c;.c;1;2;1;3;3;1;6;.c;.c;1;1;1;1;3;1;1;1;1;3;3;3;4;.c;3;.c;3;6;4;5;6;7;5;5;4;4;3;.c;.c;.c;3;5;2;4;1;1;1;2;.c;.c;.c;.c;5;4;.c;4;5;5;1;.c;.c;.c;3;0;0;0;0;0;0;1;0;0;5;7;5;5;9;9;1;9;10;10;10;8;8;6;1;0;0;0;.c;0;.c;0;.c;1;0;0;.c;1;.c;5;1;1;803;1;899;2;.c;3;4;2;3;3;3;3;2;.c;3;.c;.c;.c;2;2;2;.c;2;1;17;1;1;3;.c;.c;.c;.c;9;1;2;1;4;1;0;1;1;1;1;3;3;1;1;3;1;1;5;1;2;1;8;0;0;1;0;1;0;0;1;1;1;1;1;1;4;3;3;2;3;4;2;4;2;2;29;8;815;852356;52;52356;1;2018;181;1;3;2;2;2;2;2;2;1;3;2;1;1;1;2;2;2;1243;.c;820;4;1190;2;.c;1;789;1192;1
